"  1.        3.83712   6.91781   9.9103   12.58732  15.71744  19.32608
 132.67659"
"  2.14265   3.92486   6.35606  11.21207  15.10316  16.04343  23.06585
 139.2138 "
"  3.53549   4.44943   7.42582  15.24646  19.11302  17.2676   27.27581
 138.05209"
"  4.44098   5.50068  12.26847  21.88625  25.30711  19.5097   31.59768
 129.60409"
"  7.34679  11.07681  20.94636  32.12394  34.6369   23.36918  35.59886
 114.83645"
16.15948 21.77968 34.63839 47.30743 48.2829  29.96216 38.92053 95.16576
30.87217 38.77592 55.07592 69.10844 67.66805 40.55344 41.33998 72.42541
53.13797 63.96921 84.27495 99.52373 94.49745 56.90555 42.54606 49.41757
" 84.76166  99.4556  124.50449 140.8777  130.78811  80.62895  42.11584
  42.08905"
