"1.000000e+00 2.424330e+00 4.394900e+00 6.317400e+00 8.154480e+00
 9.922980e+00 1.163441e+01 1.331140e+01 1.490557e+01 1.653682e+01
 1.809568e+01 1.100000e+03"
"1100.      1100.      1100.         6.80376    8.50651   10.18324
   11.85915   13.46343   15.02634   16.62873   18.20119 1100.     "
"1100.      1100.      1100.      1100.         8.88674   10.48705
   12.06577   13.64365   15.1983    16.72152   18.19987 1100.     "
"1100.      1100.      1100.      1100.      1100.        10.68588
   12.24923   13.85052   15.30166   16.79432   18.31841 1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
   12.40702   13.90469   15.39632   16.86339   18.3576  1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.        14.05617   15.45829   16.90311   18.22426 1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.        14.14076   15.57027   16.96485   18.24884 1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.        15.64947   17.08094 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.        15.69132   17.0283  1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        16.96971 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        16.90203 1100.      1100.     "
1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
