"1.000000e+00 1.664230e+00 2.817920e+00 4.003070e+00 5.169850e+00
 6.317400e+00 7.429560e+00 8.514920e+00 9.578760e+00 1.045049e+01
 1.163441e+01 1.264635e+01 1.362274e+01 1.457919e+01 1.556296e+01
 1.653682e+01 1.744268e+01 1.841550e+01 2.047374e+01 1.100000e+03"
"1100.      1100.      1100.      1100.         5.94594    6.66247
    7.70503    8.75604    9.77589   10.81859   11.79566   12.77622
   13.72773   14.70033   15.62528   16.61818   17.56396   18.46838
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
    7.96936    8.96749    9.97285   10.96845   11.93235   12.89738
   13.86844   14.78551   15.72397   16.67376   17.51858   18.52557
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.         9.24363   10.11224   11.10379   12.06387   13.01815
   13.91376   14.8732    15.76883   16.67276   17.61179   18.47861
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.        10.47438   11.23701   12.19254   13.13986
   14.03727   14.94945   15.90793   16.74917   17.62236   18.34863
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        11.45181   12.31034   13.22927
   14.15529   15.03832   15.8801    16.77225   17.61178   18.3117
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.        12.42448   13.39159
   14.22689   15.05873   15.9779    16.78297   17.65238   17.92657
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.        13.4712
   14.27985   15.16361   15.99047   16.82812   17.53323  828.93531
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.       229.08277
   14.32091   15.18095   16.03174   16.84642   17.43684 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
   14.47914   15.24646   16.06088   16.77831   17.29545 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.        15.2287    16.05975   16.79607   17.11137 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.       216.73517   16.0378    16.66555   16.71733 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.        15.94685   16.62761   15.91285 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        16.51002  748.96967 1100.
 1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        16.22445 1100.      1100.
 1100.      1100.     "
"1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100."
"1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100."
"1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100."
"1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100."
"1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100.
 1100. 1100. 1100. 1100. 1100. 1100. 1100. 1100."
