"1.000000e+00 1.056200e+00 1.323750e+00 1.664220e+00 2.036820e+00
 2.423930e+00 2.817320e+00 3.213410e+00 3.608450e+00 4.001840e+00
 4.393430e+00 4.785300e+00 5.165470e+00 5.551910e+00 5.940350e+00
 6.307370e+00 6.685390e+00 7.057550e+00 7.425610e+00 7.793070e+00
 8.164350e+00 8.506190e+00 8.870430e+00 9.222880e+00 9.571170e+00
 9.913430e+00 1.025332e+01 1.041826e+01 1.096442e+01 1.130269e+01
 1.164907e+01 1.198001e+01 1.242958e+01 1.260706e+01 1.296599e+01
 1.328282e+01 1.363183e+01 1.394014e+01 1.423556e+01 1.454225e+01
 1.487274e+01 1.520474e+01 1.551761e+01 1.595795e+01 1.624851e+01
 1.646148e+01 1.679964e+01 1.720652e+01 1.752052e+01 1.770587e+01
 1.801898e+01 1.834379e+01 1.871673e+01 1.956274e+01 2.027789e+01
 1.100000e+03 1.100000e+03 1.100000e+03 1.100000e+03 1.100000e+03"
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        25.32645    4.949      5.1589
    5.49316    5.85266    6.21269    6.57647    6.92801    7.27804
    7.63634    7.98066    8.33554    8.6954     9.03957    9.39079
    9.73819   10.04248   10.37094   10.73128   11.09341   11.40037
   11.76605   12.0964    12.33577   12.72409   13.08461   13.34738
   13.68274   14.04437   14.35673   14.67276   15.02908   15.33466
   15.62319   15.90277   16.19075   16.45461   16.95056   17.12879
   17.43842   17.83425   18.25568   18.64187   18.88661   19.72855
   26.93737 1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.        31.43526    6.6515     6.83161    7.15876    7.48974
    7.82572    8.17878    8.52836    8.85314    9.20068    9.52986
    9.8635    10.17366   10.50353   10.85621   11.20991   11.51262
   11.83353   12.1688    12.48101   12.84494   13.12554   13.46697
   13.76848   14.09554   14.3753    14.70896   14.95007   15.31752
   15.64021   16.02407   16.37345   16.55517   16.87262   17.25423
   17.63026   17.88177   18.11589   18.56141   19.17577   20.0116
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.        54.89891    7.96105
    8.05125    8.3609     8.67409    9.01405    9.35421    9.66593
   10.00217   10.35168   10.6482    10.97345   11.32772   11.62612
   11.93574   12.25482   12.61092   12.91958   13.22534   13.54968
   13.90767   14.16926   14.48143   14.79581   15.09455   15.48228
   15.7762    16.02542   16.34124   16.67683   17.0491    17.26838
   17.48861   17.84664   18.1933    18.48908   19.27479   19.95519
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.        14.75225    8.93759    9.18684    9.48081    9.80941
   10.11482   10.45611   10.77573   11.0794    11.44781   11.73225
   12.05818   12.4654    12.70779   12.98923   13.34977   13.60818
   14.03626   14.23772   14.58611   14.87671   15.17102   15.44896
   15.71999   16.05627   16.45324   16.71919   16.97667   17.30317
   17.68556   18.09482   18.41499   18.74523   19.37107   25.23417
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        55.5137     9.81294   10.04324
   10.30628   10.59488   10.88364   11.20866   11.54938   11.8645
   12.18151   12.47476   12.77249   13.12116   13.38805   13.7454
   14.00368   14.3172    14.59049   14.90352   15.2208    15.57525
   15.78869   16.19282   16.41412   16.70681   17.09264   17.46609
   17.60873   17.89114   18.22015   18.91995   19.64902 1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.       104.9052
   10.66243   10.72877   11.01545   11.32384   11.62752   11.9599
   12.29302   12.5212    12.8549    13.19499   13.48527   13.94983
   14.13932   14.44083   14.74411   15.02124   15.32575   15.42237
   15.85754   16.19519   16.55258   16.87061   17.05904   17.34073
   17.71994   18.01644   18.26664   18.94309   19.67512 1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.        83.70936   11.30651   11.46672   11.73778   12.05204
   12.33982   12.62849   12.98139   13.25977   13.64904   13.91046
   14.13524   14.41153   14.71132   15.02829   15.29189   15.68305
   16.00781   16.29972   16.48669   16.79382   17.18921   17.55484
   17.86585   18.1802    18.53871   18.98375   25.20394 1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.        34.27851   11.92858   12.13081
   12.43021   12.75363   13.04281   13.38914   13.5527    13.96222
   14.2665    14.5654    14.83722   15.11857   15.4125    15.77385
   15.98391   16.28086   16.61314   17.00521   17.18491   17.41074
   17.69153   17.94965   18.62755   19.25409 1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.        14.4662
   12.59853   12.83435   13.12239   13.58984   13.69718   13.96572
   14.2606    14.57929   14.81822   15.12974   15.45318   15.77577
   16.08541   16.42253   16.64431   16.83258   17.208     17.58725
   17.88904   18.08641   18.54905   19.40038 1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
  188.8323    13.08577   13.25332   13.34977   13.77807   14.08705
   14.36652   14.62343   14.92379   15.24272   15.5332    15.88599
   16.07023   16.41049   16.69116   17.06031   17.30745   17.59587
   17.86324   18.31165   18.52676   26.58899 1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.     "
"1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.      1100.      1100.      1100.      1100.
 1100.      1100.        21.32057   13.55524   13.80978   14.11972
   14.47558   14.77372   15.02515   15.3031    15.59801   15.84514
